Search,Replace,Wildcard,MatchCase,MatchWholeWord,MatchKashida,MatchDiacritics,MatchAlefHamza,CounterUp
پله,پلّه,0,1,1,0,1,0,1
تبحر,تبحّر,0,1,1,0,1,0,1
تپه,تپّه,0,1,1,0,1,0,1
تشکر,تشکّر,0,1,1,0,1,0,1
تکه,تکّه,0,1,1,0,1,0,1
تهیه,تهیّه,0,1,1,0,1,0,1
توجه,توجّه,0,1,1,0,1,0,1
توکل,توکّل,0,1,1,0,1,0,1
تولد,تولّد,0,1,1,0,1,0,1
جاده,جادّه,0,1,1,0,1,0,1
جدی,جدّی,0,1,1,0,1,0,1
جراح,جرّاح,0,1,1,0,1,0,1
جهنم,جهنّم,0,1,1,0,1,0,1
خبازی,خبّازی,0,1,1,0,1,0,1
خرازی,خرّازی,0,1,1,0,1,0,1
خفاش,خفّاش,0,1,1,0,1,0,1
خلاق,خلّاق,0,1,1,0,1,0,1
خیاط,خیّآط,0,1,1,0,1,0,1
دره,درّه,0,1,1,0,1,0,1
دقت,دقّت,0,1,1,0,1,0,1
دکان,دکّان,0,1,1,0,1,0,1
دکه,دکّه,0,1,1,0,1,0,1
دوم,دوّم,0,1,1,0,1,0,1
دوما,دوّماً,0,1,1,0,1,0,1
رزاق,رزّاق,0,1,1,0,1,0,1
رقاص,رقّاص,0,1,1,0,1,0,1
زرافه,زرّافه,0,1,1,0,1,0,1
سجاد,سجّاد,0,1,1,0,1,0,1
سجاده,سجّاده,0,1,1,0,1,0,1
سکه,سکّه,0,1,1,0,1,0,1
سوم,سوّماً,0,1,1,0,1,0,1
شدت,شدّت,0,1,1,0,1,0,1
شفاف,شفّاف,0,1,1,0,1,0,1
شلاق,شلّاق,0,1,1,0,1,0,1
عکاس,عکّاس,0,1,1,0,1,0,1
غواص,غوّاص,0,1,1,0,1,0,1
فعال,فعّال,0,1,1,0,1,0,1
قصاب,قصّاب,0,1,1,0,1,0,1
قلاب,قلّاب,0,1,1,0,1,0,1
قلک,قلّک,0,1,1,0,1,0,1
قله,قلّه,0,1,1,0,1,0,1
قناد,قنّاد,0,1,1,0,1,0,1
قنادی,قنّادی,0,1,1,0,1,0,1
کفاش,کفّاش,0,1,1,0,1,0,1
کلاش,کلّاش,0,1,1,0,1,0,1
کله,کلّه,0,1,1,0,1,0,1
گله,گلّه,0,1,1,0,1,0,1
ماده,مادّه,0,1,1,0,1,0,1
مجرد,مجرّد,0,1,1,0,1,0,1
مجله,مجلّه,0,1,1,0,1,0,1
محله,محلّه,0,1,1,0,1,0,1
محمد,محمّد,0,1,1,0,1,0,1
مدت,مدّت,0,1,1,0,1,0,1
مربا,مربّا,0,1,1,0,1,0,1
مربی,مربّی,0,1,1,0,1,0,1
مرتب,مرتّب,0,1,1,0,1,0,1
معلم,معلّم,0,1,1,0,1,0,1
مقوا,مقوّا,0,1,1,0,1,0,1
مکه,مکهّ,0,1,1,0,1,0,1
مکه,مکّه,0,1,1,0,1,0,1
ملت,ملّت,0,1,1,0,1,0,1
ملی,ملّی,0,1,1,0,1,0,1
موفق,موفّق,0,1,1,0,1,0,1
نجار,نجّار,0,1,1,0,1,0,1
نقاش,نقّاش,0,1,1,0,1,0,1
نقاله,نقّاله,0,1,1,0,1,0,1
اتفاق,اتّفاق,0,1,1,0,1,0,1
